specimen	interval
165171.03.01.01	20 down, 17 up
165166.05.01	
168047.04.01.01	
168053.05.01.01	40 ms
168050.05.01.01	
168049.05.01.01	100 ms
168093.03.01.01	70 ms
170426.03.01.01	40 down, 25 up
169253.04.02.01	50 ms
167073.03.01.01	20 down, 50 up
169254.06.01.01	
172531.05.01.01	30 down, 20 up
171080.04.01.02	30 down, 40 up
172101.05.01.01	30 ms
170929.04.01.01	15 down, 20 up
173196.03.01.01	40 down 55 up
173191.06.01.01	45 ms
167081.03.02.01	10 down, 20 up
167638.05.02.01	45 ms
167638.06.02.01	40 down, 60 up
168052.03.02.01	20 down, 35 up
170931.05.01.01	
172535.03.01.01	
168093.03.02.01	50 down, 30 up
169248.04.02.01	20 down, 60 up
171555.05.02.01	
166229.03.02.01	60 ms
173196.01.01.01	20 ms
167638.04.02.01	
165874.04.02.01	25 ms
172651.01.01.01	30 ms
172096.04.02.01	20 down 25 up
170931.06.01.01	30 down 20 up
173196.02.02.01	
172512.05.01.01	60 ms
169125.03.01.01	35 ms
168053.06.01.01	32 down 40 up
172651.03.01.01	35 ms
165865.03.01.01	25 down, 45 up
175331.06.02.01	50 ms
176852.03.02.01	40 ms
176686.04.02.01	
172534.06.01.01	25 ms
175331.06.01.01	15 down, 30 up
171056.05.01.01	
176847.04.02.01	30 ms
176848.03.01.01	30 down 20 up
171062.06.02.01	
176852.02.02.01	30 ms
165865.05.02.01	25 ms
176961.05.02.01	
177297.05.02.01	40 ms
176962.05.01.01	50 ms
172679.03.01.01	45 ms
169250.03.02.01	80 ms
177334.05.01.01	20 ms
176958.04.01.01	70 ms
175331.02.01.01	75 ms
176958.06.02.01	
177834.02.01.01	50 ms
177637.04.02.01	
177451.05.02.01	
172534.04.01.01	
177332.03.01.01	50 ms
173191.01.02.01	80 ms
176958.05.02.01	40 ms
178703.05.01.01	65 ms
177968.02.01.01	25 ms
173196.03.02.01	60 ms
177836.04.02.01	40 ms
177300.01.02.01	100 ms
177333.03.01.01	40 ms
177834.03.02.01	30 ms
